viallabel,barcode,sampletypecode,shipping_box,shipping_position,new_batch
11294040401,8010759602,4,7000164173,F09,batch_5
11168070401,8038299208,4,7000164173,F10,batch_14
11266040401,8010769385,4,7000164173,F11,batch_13
11258060401,8010769137,4,7000164173,F12,batch_4
11200070401,8038297410,4,7000164173,G01,batch_2
11251040401,8010768938,4,7000164173,G02,batch_4
11285050401,8010759353,4,7000164173,G03,batch_15
11012010401,8019475883,4,7000164173,G04,batch_4
11062050401,8019475462,4,7000164173,G05,batch_9
11322040401,8010751855,4,7000164173,G06,batch_11
11232040401,8038293770,4,7000164173,G07,batch_15
11286020401,8010759073,4,7000164173,G08,batch_7
11294050401,8010759299,4,7000164173,G09,batch_5
11218010401,8038298237,4,7000164173,G10,batch_12
11266050401,8010769205,4,7000164173,G11,batch_13
11258070401,8010769312,4,7000164173,G12,batch_4
11213010401,8038297523,4,7000164173,H01,batch_8
11251050401,8010769404,4,7000164173,H02,batch_4
11285060401,8010759623,4,7000164173,H03,batch_15
11012020401,8019475736,4,7000164173,H04,batch_4
11062060401,8019475715,4,7000164173,H05,batch_9
11322050401,8010751801,4,7000164173,H06,batch_11
11232050401,8038299172,4,7000164173,H07,batch_15
11286040401,8010759917,4,7000164173,H08,batch_7
11168010401,8038299052,4,7000164173,H09,batch_14
11218040401,8038297938,4,7000164173,H10,batch_12
11266060401,8010769273,4,7000164173,H11,batch_13
11250010401,8038298415,4,7000164173,H12,batch_7
11081010401,8010765925,4,7000164183,A01,batch_14
11082060401,8010766708,4,7000164183,A02,batch_15
11167020401,8038299524,4,7000164183,A03,batch_15
11069060401,8010746203,4,7000164183,A04,batch_4
11152070401,8019474522,4,7000164183,A05,batch_12
11151040401,8019474319,4,7000164183,A06,batch_13
11068060401,8010746690,4,7000164183,A07,batch_15
11165070401,8038299356,4,7000164183,A08,batch_13
11015010401,8019475203,4,7000164183,A09,batch_12
11014020401,8019475591,4,7000164183,A10,batch_2
11013010401,8019475786,4,7000164183,A11,batch_13
11016020401,8019475058,4,7000164183,A12,batch_5
11081040401,8010766323,4,7000164183,B01,batch_14
11082070401,8010765784,4,7000164183,B02,batch_15
11167030401,8038298956,4,7000164183,B03,batch_15
11069070401,8010746369,4,7000164183,B04,batch_4
11070010401,8010746618,4,7000164183,B05,batch_6
11151050401,8019474608,4,7000164183,B06,batch_13
11068070401,8010746252,4,7000164183,B07,batch_15
11018010401,8019475453,4,7000164183,B08,batch_7
11015020401,8019475477,4,7000164183,B09,batch_12
11014040401,8019475494,4,7000164183,B10,batch_2
11013020401,8019475558,4,7000164183,B11,batch_13
11016030401,8019475262,4,7000164183,B12,batch_5
11081050401,8010766664,4,7000164183,C01,batch_14
11083010401,8010765920,4,7000164183,C02,batch_13
11167040401,8038298872,4,7000164183,C03,batch_15
11152010401,8019474039,4,7000164183,C04,batch_12
11070040401,8010746579,4,7000164183,C05,batch_6
11067010401,8019475216,4,7000164183,C06,batch_16
11165010401,8038299541,4,7000164183,C07,batch_13
11018020401,8019475055,4,7000164183,C08,batch_7
11015030401,8019475095,4,7000164183,C09,batch_12
11014050401,8019475294,4,7000164183,C10,batch_2
11013030401,8019475398,4,7000164183,C11,batch_13
11016040401,8019475269,4,7000164183,C12,batch_5
11081060401,8010766025,4,7000164183,D01,batch_14
11083040401,8010766692,4,7000164183,D02,batch_13
11167050401,8038299024,4,7000164183,D03,batch_15
11152020401,8019474200,4,7000164183,D04,batch_12
11070050401,8010758285,4,7000164183,D05,batch_6
11067050401,8010747065,4,7000164183,D06,batch_16
11165020401,8038299171,4,7000164183,D07,batch_13
11018030401,8019475155,4,7000164183,D08,batch_7
11015040401,8019475355,4,7000164183,D09,batch_12
11014060401,8019475126,4,7000164183,D10,batch_2
11013040401,8019475044,4,7000164183,D11,batch_13
11016050401,8019475901,4,7000164183,D12,batch_5
11081070401,8010766579,4,7000164183,E01,batch_14
11083050401,8010766651,4,7000164183,E02,batch_13
11167060401,8038299116,4,7000164183,E03,batch_15
11152030401,8019474064,4,7000164183,E04,batch_12
11070060401,8010746992,4,7000164183,E05,batch_6
11067060401,8010746425,4,7000164183,E06,batch_16
11165030401,8038299710,4,7000164183,E07,batch_13
11018040401,8019475610,4,7000164183,E08,batch_7
11015050401,8019474993,4,7000164183,E09,batch_12
11061010401,8010758954,4,7000164183,E10,batch_1
11013050401,8019475652,4,7000164183,E11,batch_13
11016060401,8019475868,4,7000164183,E12,batch_5
11082010401,8010766387,4,7000164183,F01,batch_15
11083060401,8010766568,4,7000164183,F02,batch_13
11069010401,8010746580,4,7000164183,F03,batch_4
11152040401,8019474928,4,7000164183,F04,batch_12
11151010401,8019474055,4,7000164183,F05,batch_13
11067070401,8010746777,4,7000164183,F06,batch_16
11165040401,8038299107,4,7000164183,F07,batch_13
11018050401,8019475159,4,7000164183,F08,batch_7
11015060401,8019475348,4,7000164183,F09,batch_12
11061050401,8019475031,4,7000164183,F10,batch_1
11013060401,8019475290,4,7000164183,F11,batch_13
11017010401,8019475125,4,7000164183,F12,batch_5
11082040401,8010766707,4,7000164183,G01,batch_15
11083070401,8010766517,4,7000164183,G02,batch_13
11069040401,8010746505,4,7000164183,G03,batch_4
11152050401,8010749200,4,7000164183,G04,batch_12
